cd_trial,cd_same_probe,cd_acc,cd_rt
1,0,31463113,nan
2,1,31475440,nan
3,1,31475428,nan
4,1,31475416,nan
5,0,31475404,nan
6,1,31475392,nan
7,1,31475380,nan
8,0,31475368,nan
9,1,31475356,nan
10,1,31475344,nan
11,0,31475332,nan
12,0,31475320,nan
13,1,31475308,nan
14,0,31475296,nan
15,1,31475284,nan
16,0,31475272,nan
17,1,31475260,nan
18,0,31475248,nan
19,1,31475236,nan
20,0,31475224,nan
21,0,31475212,nan
22,1,31475200,nan
23,0,31475188,nan
24,1,31475176,nan
25,0,31475164,nan
26,1,31475152,nan
27,1,31475140,nan
28,0,31475128,nan
29,1,31475116,nan
30,1,31475104,nan
31,1,31475092,nan
32,1,31475080,nan
33,0,31475068,nan
34,0,31475056,nan
35,0,31475044,nan
36,0,31475032,nan
37,1,31475020,nan
38,0,31475008,nan
39,1,31474996,nan
40,1,31474984,nan
41,1,31474972,nan
42,1,31474960,nan
43,1,31474948,nan
44,1,31474936,nan
45,1,31474924,nan
46,0,31474912,nan
47,1,31474900,nan
48,1,31474888,nan
49,1,31474876,nan
50,0,31474864,nan
51,1,31474852,nan
52,1,31474840,nan
53,1,31474828,nan
54,0,31474816,nan
55,0,31474804,nan
56,0,31474792,nan
57,0,31474780,nan
58,0,31474768,nan
59,1,31474756,nan
60,1,31474744,nan
61,1,31474732,nan
62,0,31474720,nan
63,1,31474708,nan
64,0,31474696,nan
65,0,31474684,nan
66,0,31474672,nan
67,1,31474660,nan
68,1,31474648,nan
69,0,31474636,nan
70,0,31474624,nan
71,0,31474612,nan
72,1,31474600,nan
73,0,31474588,nan
74,0,31474576,nan
75,0,31474564,nan
76,1,31474552,nan
77,0,31474540,nan
78,0,31476512,nan
79,0,31476500,nan
80,1,31476488,nan
81,1,31476476,nan
82,1,31476464,nan
83,0,31476452,nan
84,0,31476440,nan
85,1,31476428,nan
86,0,31476416,nan
87,0,31476404,nan
88,1,31476392,nan
89,0,31476380,nan
90,0,31476368,nan
91,0,31476356,nan
92,0,31476344,nan
93,0,31476332,nan
94,1,31476320,nan
95,0,31476308,nan
96,1,31476296,nan
